,h,t,r,type,newEntities,pair_c
595,Q90,Q130232,in Tango is,KG,,default
596,Q1473699,Q631893,is seminal,KG,,default
597,Q11424,Q5579109,is in,KG,,default
598,Q15952517,Q90,is in,KG,,default
599,Q7741996,Q15952517,is in,KG,,default
600,Warhol,Q15952517,influence in,Open_KG,head_,default
601,Q6897935,Q885812,however had plot Unlike,KG,,default
602,Q11424,Q759676,forestall,KG,,default
603,Q1248019,Q58814558,is in,KG,,default
604,Q185529,Q875600,achieve,KG,,default
605,Q19850968,Q20814836,is in,KG,,default
606,Q19850968,Q592,was,KG,,default
607,Q19850968,Q1164740,was,KG,,default
608,Q19850968,pornographic,was,Open_KG,tail_,default
609,Q11424,Q5159092,driven with,KG,,default
610,Q11424,Q5159092,driven with,KG,,default
611,1987,Q146673,Heart at_time,Open_KG,head_,default
612,1987,Q1133610,Heart at_time,Open_KG,head_,default
613,Q493807,1992,Instinct at_time,Open_KG,tail_,default
614,Q493807,Q592503,Color of,KG,,default
615,1987,Q6926907,Heart at_time,Open_KG,head_,default
616,Q493807,Q1568,Movies in,KG,,default
617,thrillers,erotic,are,Open_KG,head_tail_,default
618,Q1473699,Q1568,is in,KG,,default
619,thrillers,popular,are,Open_KG,head_tail_,default
620,thrillers,Q1164740,are,Open_KG,head_,default
621,1987,Q1111228,Heart at_time,Open_KG,head_,default
622,popular American erotic subgenre,Q11424,is with,Open_KG,head_,default
623,Q493807,Q34006,Movies Of,KG,,default
624,Q908584,Q23014704,is in,KG,,default
625,Q5905145,Q11424,is In,KG,,default
626,Q5873,Q23595,is in,KG,,default
627,it,Q200092,have sex in,Open_KG,head_,default
628,Q32483,Q5255430,has,KG,,default
629,Q203540,Q181508,is with,KG,,default
630,Q181508,Q898429,has,KG,,default
631,Q28856068,Q3305212,is,KG,,default
632,Q11471,Q200092,is in,KG,,default
633,Q11424,Q215972,has,KG,,default
634,Q327116,chased,is,Open_KG,tail_,default
635,Q327116,then chased,is,Open_KG,tail_,default
636,Q2140674,himself,Randy,Open_KG,tail_,default
637,he,Scream 2,However dies in,Open_KG,head_tail_,default
638,Q8148,Q668,is important,KG,,default
639,Q289,Q1166770,Historically has lacked,KG,,default
640,Q4049121,Q12335479,were,KG,,default
641,Q1160206,Q5873,are,KG,,default
642,Q170198,Q5873,are,KG,,default
643,Q7458831,Q170198,is in,KG,,default
644,Q20649893,Q41253,is in,KG,,default
645,Q1650915,Q1329910,research,KG,,default
646,Q5,Q1329910,has,KG,,default
647,Q8441,Q68015646,related scenes to,KG,,default
648,Q8441,Q4049121,seeing,KG,,default
649,Q8441,Q4049121,seeing,KG,,default
650,Q5148543,Q1860,is in,KG,,default
651,Q36253,Q11424,even heterosexual scenes in,KG,,default
652,Q4049121,Q11424,is in,KG,,default
653,Q20649893,Q265158,received,KG,,default
654,Q155,Q6495741,opposed to,KG,,default
655,It,Q618779,awarded Palme d'Or along,Open_KG,head_,default
656,Q6501338,Q446580,directed by,KG,,default
657,Q6501338,Q446580,directed by,KG,,default
658,Q20859937,Therese Belivet,named,Open_KG,tail_,default
659,It,Q2085515,includes,Open_KG,head_,default
660,Q223642,Q41253,is in,KG,,default
661,Q11424,Timothee Chalamet,played by,Open_KG,tail_,default
662,Q11424,Q1313,Set in,KG,,default
663,Q223642,Q508719,is with,KG,,default
664,Q11424,Q9268,is,KG,,default
665,Q11424,Q14943742,is,KG,,default
666,Q467,Q11033,is in,KG,,default
667,Q5579109,Q185529,is in,KG,,default
668,Q2000136,Q5165186,is in,KG,,default
669,Q7080970,Q1854561,Erotica for,KG,,default
670,Q121973,Q1937781,is in,KG,,default
671,Q1921426,Q1937781,Eros in,KG,,default
672,Q5873,Q458,is in,KG,,default
673,Q499169,Q56474015,Etcetera in,KG,,default
674,Q107517,Q56474015,is in,KG,,default
675,Q1068155,Q1473699,is in,KG,,default
676,Q1473699,1968,in Sex is,Open_KG,tail_,default
677,Q2439025,Q1937781,is in,KG,,default
678,Q1068155,Q1937781,is in,KG,,default
679,Q1995008,Q11033,is in,KG,,default
680,Q11424,Q651050,is with,KG,,default
681,Q11424,Q56281007,organized by,KG,,default
682,Խղճմտանքի Ֆիլմեր,Q8785,is in,Open_KG,head_,default
683,Q476300,Q492,was founded in,KG,,default
684,Q56281007,Q625642,at coordinator is,KG,,default
685,Q170584,Q1930187,words by,KG,,default
686,Q193526,Q17641254,is searching for,KG,,default
687,Q11424,Q189760,are determined by,KG,,default
688,Q837675,2010,is in,Open_KG,tail_,default
689,Q1953,Q399,capital of,KG,,default
690,Q24862,Q174320,were,KG,,default
691,Q7187883,Q11424,accompany,KG,,default
692,Q7187884,Q976007,is,KG,,default
693,Q7187883,Q226730,accompany,KG,,default
694,Q7187884,Q6804478,is,KG,,default
695,Q34379,Q125191,is in,KG,,default
696,Q281460,Q190686,machines,KG,,default
697,Q11019,Q768807,manually creating,KG,,default
698,Q23004,Q1508510,is with,KG,,default
699,Q125191,Q11019,start,KG,,default
700,Q11019,Q130838,exist at_time,KG,,default
701,Q11019,Q130838,still exist at_time,KG,,default
702,they,Q11461,wider range of,Open_KG,head_,default
703,Q7187884,Q188473,is in,KG,,default
704,Q20649346,Q2837916,is with,KG,,default
705,Q10737,Q841154,is,KG,,default
706,Q10737,uncommon,is,Open_KG,tail_,default
707,Q3133312,Q192509,following,KG,,default
708,I,Q6149972,Was,Open_KG,head_,default
709,Q170924,Q1656608,professor at,KG,,default
710,Q103076,Q42213,was,KG,,default
711,Q4797360,three Lesescenarios listed below,has,Open_KG,tail_,default
712,Q6514122,Q103184,has,KG,,default
713,Q529580,Q1200744,Figures of,KG,,default
714,Q56474015,Q1204,U of,KG,,default
715,Lesescenarios,Q103184,is in,Open_KG,head_,default
716,we,Q1664689,consider,Open_KG,head_,default
717,we,Q1723368,instances of,Open_KG,head_,default
718,Q706032,Q183252,history of,KG,,default
719,we,Q1723368,certain instances of,Open_KG,head_,default
720,Q31924,Q211198,is with,KG,,default
721,Q1318295,Q3114811,has,KG,,default
722,Q706032,Q134995,has,KG,,default
723,Q706032,Q95,has,KG,,default
724,Q711,Q283586,of Borders is,KG,,default
725,Q6381556,Q25269,by Girl is,KG,,default
726,Q189,Q20859937,on Secrets is,KG,,default
727,Q8261,Q1768180,after Seconds is,KG,,default
728,Q8261,Thirty Two,after Seconds is,Open_KG,tail_,default
729,Q6034186,Q1436734,Story of,KG,,default
730,Q81447,Q25269,by Girl is,KG,,default
731,Q1197407,Q8261,based,KG,,default
732,Q813449,Q927450,is in,KG,,default
733,Q623,Q151999,Woman from,KG,,default
734,Q8261,Q103076,after Seconds is,KG,,default
735,Harmagedon,Q25269,in Girl is,Open_KG,head_,default
736,Q30,Q53736577,Nations on,KG,,default
737,Q53736577,Q3997904,Master of,KG,,default
738,Q8261,Q29652910,based House is,KG,,default
739,Q18740903,Q20859937,by Secrets is,KG,,default
740,Q61875850,Q4618975,Negrophobia aka,KG,,default
741,Q1758439,Q857823,has,KG,,default
742,Q61875850,Harmagedon,is in,Open_KG,tail_,default
743,Q8261,Q857823,based House is,KG,,default
744,Q61875850,Q1165983,Negrophobia by,KG,,default
745,Q352963,Q244615,by Park is,KG,,default
746,Q23558,Q5675612,Day by,KG,,default
747,Q296069,Q765665,Based,KG,,default
748,Q1196689,Q7318582,has,KG,,default
749,Q1002251,Q7230124,is in,KG,,default
750,Q720644,Q1758439,Life of,KG,,default
751,Q8261,Q213096,after Seconds is,KG,,default
752,Q8261,Q19483969,after Seconds is,KG,,default
753,Q186326,Q37260,has,KG,,default
754,Q186326,Q15707255,'s Writings is,KG,,default
755,Q37260,Q476294,Journal of,KG,,default
756,Q476294,9,of Journal is,Open_KG,tail_,default
757,Q121594,Q1465588,paper ’s,KG,,default
758,Q1465588,Q11472,’s,KG,,default
759,Q121594,Q1134257,paper on,KG,,default
760,Q1490,Q1465588,of professor is,KG,,default
761,Q2494081,Q1192650,is with,KG,,default
762,Q4309681,Q193955,Of -446-51244-3 is,KG,,default
763,Q13501137,Q1521451,wealth of,KG,,default
764,Q1164740,Q33057,of History is,KG,,default
765,Q1164740,Q3331189,of History is,KG,,default
766,Q42574,Q24871,has,KG,,default
767,Q21487933,2010,Patrick at_time,Open_KG,tail_,default
768,Q17606382,Q24871,has,KG,,default
769,Q42574,Q841118,has,KG,,default
770,Q7494415,1992,David at_time,Open_KG,tail_,default
771,Q14217100,Q865907,has,KG,,default
772,Q59101449,1988,Gerald at_time,Open_KG,tail_,default
773,Q2124504,1997,E. at_time,Open_KG,tail_,default
774,Q29468697,Q1621107,is in,KG,,default
775,Carringer,1996,L. at_time,Open_KG,head_tail_,default
776,Q56244337,1996,Ronald at_time,Open_KG,tail_,default
777,Naremore,2004,James at_time,Open_KG,head_tail_,default
778,Q24829,Q24815,has,KG,,default
779,Q56539884,2003,November at_time,Open_KG,tail_,default
780,Q5154083,Q675618,is in,KG,,default
781,Q187829,Q675618,is in,KG,,default
782,Q56094,Q3225260,has,KG,,default
783,Q214665,Q3225260,has,KG,,default
784,Q6896849,2012,Marylee at_time,Open_KG,tail_,default
785,Vertrees,1997,David at_time,Open_KG,head_tail_,default
786,Q21449747,Q2307071,has,KG,,default
787,Q246115,Q34006,is in,KG,,default
788,It,Wonderful,has,Open_KG,head_tail_,default
789,It,wonderful,has,Open_KG,head_tail_,default
790,It,Q2290000,has,Open_KG,head_,default
791,It,Wonderful,has,Open_KG,head_tail_,default
792,It,Wonderful,has,Open_KG,head_tail_,default
793,It,Wonderful,has,Open_KG,head_tail_,default
794,Q7754,Wonderful,has,Open_KG,tail_,default
795,Q7374,Q201608,has,KG,,default
796,Kolker,2004,Phillip at_time,Open_KG,head_tail_,default
797,Q7374,Q201608,has,KG,,default
798,Q17496216,Q201608,is in,KG,,default
799,Q874666,2001,Sheahan at_time,Open_KG,tail_,default
800,Q2236136,Q52715628,has,KG,,default
801,Q8877,Q2763,has,KG,,default
802,Rinzler,2010,W. at_time,Open_KG,head_tail_,default
803,Rinzler,Q121,W. at_time,Open_KG,head_,default
804,Q25596,Q56284214,has,KG,,default
805,Q182575,Q42930,is with,KG,,default
806,Srebnick,1991,Walter at_time,Open_KG,head_tail_,default
807,Q247733,Q11424,has,KG,,default
808,Q28101339,Q2723204,is in,KG,,default
809,Q55432,A,has,Open_KG,tail_,default
810,Q845104,Q725167,has,KG,,default
811,Q28453459,Q47063979,has,KG,,default
812,Q28453459,Q47063979,has,KG,,default
813,Q39069621,Q47063979,has,KG,,default
814,Q1114626,Q3280621,is in,KG,,default
815,Q1114626,Q3280621,is in,KG,,default
816,Q55432,Q1114626,has,KG,,default
817,Q705995,Q2165006,has,KG,,default
818,Q704027,Q3041576,has,KG,,default
819,She,Q1758439,has,Open_KG,head_,default
820,Q19868483,Q714057,has,KG,,default
821,Q55432,Q269326,has,KG,,default
822,Q12588803,Q2101284,To,KG,,default
823,Q256958,Q17082196,has,KG,,default
824,Q300911,Q217127,has,KG,,default
825,Q16860383,1995,Ian at_time,Open_KG,tail_,default
826,Q33999,Q1712140,has,KG,,default
827,Q39018,Q8473,has,KG,,default
828,Q6721808,1993,I. at_time,Open_KG,tail_,default
829,Q56538469,2008,Andrew at_time,Open_KG,tail_,default
830,Q1937781,Q17,is in,KG,,default
831,Q681708,Q1166,University of,KG,,default
832,Q875592,Q230492,for Center is,KG,,default
833,Q2873355,Q17,is in,KG,,default
834,Q386655,Q26060,has,KG,,default
835,Q15618454,2007,Stephen at_time,Open_KG,tail_,default
836,Q667128,Q704780,has,KG,,default
837,Q6441326,Q41253,has,KG,,default
838,Q2001,Q16234136,has,KG,,default
839,Q4115667,Q11424,is in,KG,,default
840,Q4115667,Q8261,is in,KG,,default
841,Q179840,2003,July at_time,Open_KG,tail_,default
842,Q2001,Q181086,has,KG,,default
843,Q181086,Q935222,is in,KG,,default
844,Q7282937,1999,Charles at_time,Open_KG,tail_,default
845,Q56474015,Q23404,has,KG,,default
846,Q183,1987,Andrew at_time,Open_KG,tail_,default
847,Q7372496,2001,November at_time,Open_KG,tail_,default
848,Italian 8 1/2 Benderson,Q120,Edward at_time,Open_KG,head_,default
849,Q34286,2009,Miller at_time,Open_KG,tail_,default
850,Q33760,2004,Gary at_time,Open_KG,tail_,default
851,Q27184760,Q109061,has,KG,,default
852,Q1913425,2001,Brian at_time,Open_KG,tail_,default
853,Q21511559,2000,editor at_time,Open_KG,tail_,default
854,Q230448,Q5994,has,KG,,default
855,Q11424,Q340,is in,KG,,default
856,Q7122345,Q3052382,has,KG,,default
857,Q609258,Q82753,from films is,KG,,default
858,Q4140352,Q17112637,is located,KG,,default
859,Q382844,Q618779,has,KG,,default
860,Q16,Q11424,mounted,KG,,default
861,Q11424,Q36161,was,KG,,default
862,It,1970,produced,Open_KG,head_tail_,default
863,Q956402,1970,by muerte is,Open_KG,tail_,default
864,that,Q124,premiered on,Open_KG,head_,default
865,It,May 19 2008,premiered on,Open_KG,head_tail_,default
866,Q11425,Q16249363,were produced by,KG,,default
867,Q641943,Q15126706,moves to,KG,,default
868,Q15126706,Q3336843,is in,KG,,default
869,Q83267,Q20502,save,KG,,default
870,her,Q185030,friend,Open_KG,head_,default
871,her,Q249892,friend,Open_KG,head_,default
872,Q384193,Q284115,has,KG,,default
873,It,Q641943,is direct,Open_KG,head_,default
874,Q11424,Q5289622,is produced by,KG,,default
875,Q11424,Q63821555,was dedicated to,KG,,default
876,soaking,Q30022,wet outside,Open_KG,head_,default
877,Q859965,Q566890,is complete,KG,,default
878,her,Q65119004,Nonomys,Open_KG,head_,default
879,Q566890,Q1366302,several nights in,KG,,default
880,Q575,Q1366302,is in,KG,,default
881,Q641943,Q641943,is direct,KG,,default
882,Q11424,Q251868,was,KG,,default
883,Q2675035,Q39473,being,KG,,default
884,Q14936243,Q3308979,has,KG,,default
885,Q14936243,Q7352285,'s advice is,KG,,default
886,Q7566,him,pick up,Open_KG,tail_,default
887,Q249892,Q657221,Heartbroken skips out on,KG,,default
888,Q13501137,her,move in with,Open_KG,tail_,default
889,Q65119004,Q1038555,visit,KG,,default
890,Q65119004,Q20502,visit Stefan at,KG,,default
891,them,Q179448,keep down,Open_KG,head_,default
892,Q1038555,Q8436,has,KG,,default
893,Q961082,Q287,is in,KG,,default
894,Q961082,garlic,is with,Open_KG,tail_,default
895,Q76557,Q46721,is,KG,,default
896,Q65119004,goodbye,hastily says,Open_KG,tail_,default
897,Q65119004,Q131795,Finding,KG,,default
898,Q605384,Q209351,is in,KG,,default
899,He,Q46721,has,Open_KG,head_,default
900,Q65119004,still grounded,gets,Open_KG,tail_,default
901,Q1038555,Q7566,has,KG,,default
902,Q578478,Q20502,has,KG,,default
903,he,to punished,deserves,Open_KG,head_tail_,default
904,he,Q170924,acting in,Open_KG,head_,default
905,him,him,scaring confession out,Open_KG,head_tail_,default
906,Q13501137,Q657221,proposes At,KG,,default
907,they,engaged,are,Open_KG,head_tail_,default
908,Q249892,Q42844,overcome,KG,,default
909,Q1368,Q7566,with Best is,KG,,default
910,all,Q7566,of Best is,Open_KG,head_,default
911,Q1038555,Q7566,has,KG,,default
912,Q381243,Q157394,popularized by,KG,,default
913,Q381243,Q11424,feature in,KG,,default
914,Q42139305,Q11424,is in,KG,,default
915,Q2995644,Q11635,perform in,KG,,default
916,Q2995644,Q11635,perform in,KG,,default
917,Q24869,1906,is in,Open_KG,tail_,default
918,Q18957,Q11635,is in,KG,,default
919,Q18957,Q36297,is in,KG,,default
920,Q34929,Q36297,mainstream in,KG,,default
921,Q34929,Q11635,mainstream in,KG,,default
922,Q17131079,Q1318295,revolutionized,KG,,default
923,Q17131079,Q7401,became,KG,,default
924,Q82821,Q190109,is in,KG,,default
925,Q490049,1866,zoetrope since,Open_KG,tail_,default
926,Q46202,Q27275,is in,KG,,default
927,Q428152,Q11461,shows,KG,,default
928,Q79782,Q753532,is in,KG,,default
929,He,other chronophotographers,was soon followed by,Open_KG,head_tail_,default
930,Q869595,Q361825,is in,KG,,default
931,Q7924308,them,watch,Open_KG,tail_,default
932,Q7924308,Q3966,Using,KG,,default
933,Muybridge,Q7302910,has,Open_KG,head_,default
934,Q820655,Q40056,is in,KG,,default
935,Q2085515,Q36253,is in,KG,,default
936,Q548320,1895,is in,Open_KG,tail_,default
937,Q755237,1896,screen movies in,Open_KG,tail_,default
938,Q172008,Q6428674,is commonly referred to,KG,,default
939,Q7924308,Q226730,' experience is,KG,,default
940,Q759676,1923,were resolved by,Open_KG,tail_,default
941,Q7366,Q13427002,were notable,KG,,default
942,late 1930s,Q41253,is in,Open_KG,head_,default
943,Q6655397,paired,were,Open_KG,tail_,default
944,Q194189,Q2596399,main purpose of,KG,,default
945,they,Q194189,were highly successful,Open_KG,head_,default
946,Q636474,combine,was non-commercial,Open_KG,tail_,default
947,Q11424,Q311666,was,KG,,default
948,Q766677,Q488041,has,KG,,default
949,Q5,Q30,is in,KG,,default
950,Q1845,Q766677,Witnesses 's,KG,,default
951,Q11424,Q311666,is with,KG,,default
952,Q783794,Q739302,is with,KG,,default
953,Q783794,Q30,is in,KG,,default
954,Q11424,Q82604,using,KG,,default
955,Q1071233,Q578,is in,KG,,default
956,Q1164740,Q18419,studios in,KG,,default
957,Q746628,Q18419,is in,KG,,default
958,continuous litigation,Q30,is in,Open_KG,head_,default
959,Q783794,Q456,is in,KG,,default
960,Q17148708,Q11424,was,KG,,default
961,Q11424,Q142,is in,KG,,default
962,Q11424,Q16502,is in,KG,,default
963,Q1185084,Q7920475,is in,KG,,default
964,Q161604,Q30,is in,KG,,default
965,Q11635,nothing,showing,Open_KG,tail_,default
966,Other exhibitors,Q30,is in,Open_KG,head_,default
967,Q43016,Q3884033,is in,KG,,default
968,Q27905,Q30,Other exhibitors in,KG,,default
969,Q179057,Q739302,is in,KG,,default
970,Q15328,Q15328,were,KG,,default
971,Q11424,Q870,shot from,KG,,default
972,panoramas,Q194189,is in,Open_KG,head_,default
973,he,Q1208163,passing processions of,Open_KG,head_,default
974,Q534851,Q1162163,using,KG,,default
975,to panoramas,Q11424,is in,Open_KG,head_,default
976,Q152272,Q119,had built in,KG,,default
977,Q11424,Q375336,is in,KG,,default
978,Q161519,Q190686,become,KG,,default
979,Q83478,Q11460,is in,KG,,default
980,Q139,Q4659431,’s,KG,,default
981,Q139,Q6501125,drops onto,KG,,default
982,Q15328,Q152596,replacing actor with,KG,,default
983,Q11424,when shown,was,Open_KG,tail_,default
984,Q1116908,Q90,is in,KG,,default
985,Q11019,1895,is in,Open_KG,tail_,default
986,Q11424,Q15328,is in,KG,,default
987,This,Q1392629,was,Open_KG,head_,default
988,negative,Q2140674,was,Open_KG,head_,default
989,*,*,transparent,Open_KG,head_tail_,default
990,*,*,quite transparent,Open_KG,head_tail_,default
991,he,Q12791,been killed by,Open_KG,head_,default
992,Q162668,Q191503,showing,KG,,default
993,Q191503,Q7561,is in,KG,,default
994,Q2085488,Q2995644,also initiated,KG,,default
995,Q2085488,Q23558,has,KG,,default
996,Q188473,exactly reversed,was,Open_KG,tail_,default
997,Q161519,Q519967,be called,KG,,default
998,Q48815909,Q3711325,passing,KG,,default
999,Q11424,Q1324888,was,KG,,default
1000,Q5096653,Q79782,has,KG,,default
1001,Q623306,Q9056,is in,KG,,default
1002,these,Q133250,were,Open_KG,head_,default
1003,Q152272,1899,made in,Open_KG,tail_,default
1004,Q667276,Q20925558,is In,KG,,default
1005,Q1395034,Q11424,is in,KG,,default
1006,Q783794,Q163,is in,KG,,default
1007,Q7766995,Q8058268,is with,KG,,default
1008,Q600903,Q178049,'s film is,KG,,default
1009,Q600903,Q11424,has,KG,,default
1010,Q11424,Q148,Attack on,KG,,default
1011,Q19320953,Q30939513,has,KG,,default
1012,Q2281513,1903,is in,Open_KG,tail_,default
1013,Q42213,Q171558,is in,KG,,default
1014,intertitles,Q1318295,convey,Open_KG,head_,default
1015,Q2140674,Q3985963,is in,KG,,default
1016,Q11633,Q1318295,enhance,KG,,default
1017,These,Q7619770,were inspired by,Open_KG,head_,default
1018,Q1965933,Q144,being,KG,,default
1019,Q1965933,Q14566073,leg of,KG,,default
1020,Q84,Q225916,Through Chase is,KG,,default
1021,Q2140674,particular,Haggar in,Open_KG,tail_,default
1022,Haggar,Q7901733,has,Open_KG,head_,default
1023,Q188473,Q331408,repeated across,KG,,default
1024,he,1902,making films in,Open_KG,head_tail_,default
1025,His,Q1140155,film,Open_KG,head_,default
